Stage 1, Machine 1 and Machine 2, Swap 3 and 7, Objective Value 228.8658089611317 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 7, Objective Value 303.1974709392465 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 7, Objective Value 303.1974709392465 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 7, Objective Value 303.1974709392465 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 3 and 5, Objective Value 300.47607735422355 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 5, Objective Value 237.41154089379452 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 5, Objective Value 240.2227097825576 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 5, Objective Value 227.9512340614047 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 3 and 10, Objective Value 285.86710607619665 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 10, Objective Value 227.9512340614047 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 10, Objective Value 243.9682623756245 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 10, Objective Value 251.87604980535025 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 3 and 1, Objective Value 285.86710607619665 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 1, Objective Value 231.88111665747695 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 1, Objective Value 227.9512340614047 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 1, Objective Value 233.81894076253684 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 3 and 9, Objective Value 316.7077066481707 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 9, Objective Value 256.4706228116606 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 9, Objective Value 233.17858278901502 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 9, Objective Value 227.9512340614047 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 3 and 2, Objective Value 316.7077066481707 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 2, Objective Value 256.4706228116606 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 2, Objective Value 249.61487910728093 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 2, Objective Value 227.9512340614047 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 3 and 7, Objective Value 246.591580463297 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 7, Objective Value 248.5566344586753 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 7, Objective Value 303.32451677748895 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 7, Objective Value 307.5331532218841 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 7, Objective Value 311.248036659839 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 3 and 10, Objective Value 260.481601406795 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 10, Objective Value 267.5454076457449 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 10, Objective Value 237.46750381216214 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 10, Objective Value 251.12696678427687 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 10, Objective Value 246.61013182273962 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 3 and 6, Objective Value 259.7111178173189 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 6, Objective Value 246.1263483831095 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 6, Objective Value 241.17263208883202 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 6, Objective Value 269.60107753015575 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 6, Objective Value 243.10906703884248 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 3 and 8, Objective Value 299.80860542824854 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 8, Objective Value 308.7453251902165 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 8, Objective Value 256.01023081456543 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 8, Objective Value 227.80971626643748 | improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 9, Objective Value 237.5677842588022 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 3 and 4, Objective Value 299.0063852428322 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 4, Objective Value 308.46151323750564 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 4, Objective Value 232.79065953087593 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 4, Objective Value 233.95348716337352 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 4, Objective Value 228.00727665515748 | not improved!
